"id";"award";"title";"desc";"icon";"unit";"firstName";"value";"createdAt";"updatedAt"
1;"champ";"Champ of Week";"Based on most workouts, most time, and least rest days in current week.";"faTrophy";"champ";"Curtis";"1";"2019-07-06 11:15:00";"2019-12-05 03:14:51"
2;"mostWorkouts";"Hardest Worker";"Highest number of workouts completed of all types.";"faHammer";"workouts";"Curtis";"298";"2019-07-06 11:15:00";"2019-12-05 03:14:51"
3;"mostRestDays";"Snoozer";"Most number of rest days. Person here needs to stop cuddling with blanky and get to work.";"faBed";"rest days";"Joseph";"149";"2019-07-06 11:15:00";"2019-12-05 03:14:51"
4;"mostMiles";"Globetrotter";"Highest total number of miles run.";"faGlobeAfrica";"miles";"Jason";"1407.31";"2019-07-06 11:15:00";"2019-12-05 03:14:51"
5;"longestRun";"Roadrunner";"Most number of miles run in one workout.";"faRulerHorizontal";"miles";"Curtis";"50.82";"2019-07-06 11:15:00";"2019-12-05 03:14:51"
6;"maxClimb";"Climber";"Highest total elevation climbed over all runs.";"faMountain";"feet";"Curtis";"131235";"2019-07-06 11:15:00";"2019-12-05 03:14:51"
7;"mostPushups";"Push-Up King";"Most push-ups done in a single workout.";"faCrown";"push-ups";"Joseph";"1000";"2019-07-06 11:15:00";"2019-12-05 03:14:51"
8;"mostPullups";"Prince of Pulls";"Most pull-ups done in a single workout.";"faMedal";"pull-ups";"Curtis";"209";"2019-07-06 11:15:00";"2019-12-05 03:14:51"
9;"mostGoggins";"Soul Taker";"Most Goggins workouts completed. (Takin' souls)";"faDragon";"workouts";"Curtis";"8";"2019-07-06 11:15:00";"2019-12-05 03:14:51"
10;"mostRaces";"Competitor";"Most number of races completed.";"faFlagCheckered";"races";"Curtis";"5";"2019-07-06 11:15:00";"2019-12-05 03:14:51"
11;"mostTime";"Minute Man";"Most time spent working out.";"faClock";"minutes";"Jason";"12076";"2019-07-06 11:15:00";"2019-12-05 03:14:51"
12;"mostRainyDays";"Storm Chaser";"Most days run in bad weather.";"faCloudShowersHeavy";"days";"Curtis";"13";"2019-07-06 11:15:00";"2019-12-05 03:14:51"
13;"mostSwims";"Merman";"Most swim workouts completed.";"faFish";"swims";"Joseph";"3";"2019-07-06 11:15:00";"2019-12-05 03:14:51"
14;"mostBikes";"Yellow Jersey";"Most biking workouts completed.";"faTshirt";"bikes";"Curtis";"19";"2019-07-06 11:15:00";"2019-12-05 03:14:51"
15;"hotdog";"Weiner";"The coveted weiner award.";"faHotdog";"weiner";"Jason";"1";"2019-07-06 11:15:00";"2019-12-05 03:14:52"
